 ,Label,Mean,X,Y,Ch,Slice,MinThr,MaxThr
1,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4655,4.285,6.469,2,2,0,65535
2,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5242,6.785,5.274,2,3,0,65535
3,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4830,7.801,5.933,2,4,0,65535
4,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5019,7.993,6.277,2,7,0,65535
5,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5022,7.911,5.933,2,7,0,65535
6,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4945,5.164,5.961,2,7,0,65535
7,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5225,5.494,6.441,2,7,0,65535
8,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4592,5.727,6.579,2,7,0,65535
9,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4642,3.530,4.450,2,2,0,65535
10,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4742,4.162,3.749,2,9,0,65535
11,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4469,3.859,2.939,2,9,0,65535
12,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4551,4.285,4.395,2,9,0,65535
13,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4890,4.848,3.090,2,5,0,65535
14,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4965,3.859,3.200,2,5,0,65535
15,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4979,3.956,2.857,2,4,0,65535
16,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4970,3.749,2.870,2,3,0,65535
17,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5233,5.562,3.667,2,4,0,65535
18,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4755,6.565,4.052,2,8,0,65535
